,driver,year,GP,fp1,fp1+,fp2,fp2+,fp3,fp3+,q1,q1+,q2,q2+,q3,q3+,r
0,Rosberg,2016,Australia,91.814,2.0889999999999986,107.356,8.514999999999986,85.8,0.17600000000000193,86.934,1.5829999999999984,84.79599999999999,0.1909999999999883,84.197,0.35999999999999943,1.0
1,Hamilton,2016,Australia,89.725,0.0,98.84100000000001,0.0,85.624,0.0,85.351,0.0,84.605,0.0,83.837,0.0,2.0
2,Ricciardo,2016,Australia,90.875,1.1500000000000057,99.535,0.6939999999999884,86.768,1.1440000000000055,86.945,1.593999999999994,85.599,0.9939999999999998,85.589,1.7519999999999953,4.0
3,Vettel,2016,Australia,,,100.761,1.9199999999999875,85.852,0.22800000000000864,86.945,1.593999999999994,85.257,0.652000000000001,84.675,0.8379999999999939,3.0
4,Verstappen,2016,Australia,91.72,1.9950000000000045,,,86.701,1.0769999999999982,86.934,1.5829999999999984,85.615,1.009999999999991,85.434,1.5969999999999942,10.0
5,RÃ¤ikkÃ¶nen,2016,Australia,100.75399999999999,11.028999999999996,99.48599999999999,0.6449999999999818,86.435,0.811000000000007,86.57900000000001,1.2280000000000086,85.615,1.009999999999991,85.033,1.195999999999998,18.0
6,Perez,2016,Australia,93.37,3.6450000000000102,101.256,2.414999999999992,87.242,1.6180000000000092,86.607,1.2560000000000002,85.753,1.1479999999999961,,,13.0
7,Bottas,2016,Australia,94.55,4.825000000000003,,,86.73,1.1060000000000088,87.135,1.784000000000006,85.961,1.3559999999999945,,,8.0
8,Hulkenberg,2016,Australia,91.325,1.6000000000000085,99.30799999999999,0.46699999999998454,87.988,2.3640000000000043,86.55,1.198999999999998,85.865,1.259999999999991,,,7.0
9,Alonso,2016,Australia,93.06,3.335000000000008,99.89500000000001,1.054000000000002,87.263,1.63900000000001,86.537,1.186000000000007,86.125,1.519999999999996,,,21.0
10,Massa,2016,Australia,94.679,4.954000000000008,,,87.151,1.527000000000001,85.918,0.5670000000000073,85.644,1.0390000000000015,85.458,1.6209999999999951,5.0
11,Sainz,2016,Australia,,,99.694,0.8529999999999944,86.257,0.6330000000000098,87.057,1.706000000000003,85.384,0.7789999999999964,85.582,1.7449999999999903,9.0
12,Grosjean,2016,Australia,103.443,13.718000000000004,103.731,4.889999999999986,88.292,2.6680000000000064,88.322,2.9710000000000036,,,,,6.0
13,Kvyat,2016,Australia,90.146,0.4210000000000065,102.411,3.569999999999993,87.43,1.8060000000000116,88.006,2.655000000000001,,,,,22.0
14,Button,2016,Australia,93.12899999999999,3.4039999999999964,100.00800000000001,1.1670000000000016,87.34100000000001,1.717000000000013,86.74,1.3889999999999958,86.304,1.698999999999998,,,14.0
15,Magnussen,2016,Australia,94.06,4.335000000000008,,,87.871,2.247,87.297,1.945999999999998,87.742,3.1370000000000005,,,12.0
16,Nasr,2016,Australia,94.79599999999999,5.070999999999998,,,88.293,2.669000000000011,87.958,2.6069999999999993,,,,,15.0
17,Palmer,2016,Australia,95.477,5.7520000000000095,,,88.117,2.493000000000009,87.241,1.8900000000000006,87.601,2.995999999999995,,,11.0
18,Wehrlein,2016,Australia,100.40100000000001,10.676000000000016,103.40100000000001,4.560000000000002,89.04599999999999,3.421999999999997,89.642,4.290999999999997,,,,,16.0
19,Vandoorne,2016,Australia,,,,,,,,,,,,,
20,Gutierrez ,2016,Australia,101.78,12.055000000000007,102.89099999999999,4.049999999999983,88.28399999999999,2.6599999999999966,89.606,4.2549999999999955,,,,,20.0
21,Ericsson,2016,Australia,97.956,8.231000000000009,,,87.65899999999999,2.0349999999999966,87.435,2.084000000000003,,,,,17.0
22,Ocon,2016,Australia,,,,,,,,,,,,,
23,Haryanto,2016,Australia,103.372,13.647000000000006,104.304,5.462999999999994,89.27199999999999,3.647999999999996,89.627,4.275999999999996,,,,,19.0
24,Rosberg,2016,Bahrain,92.294,0.0,91.001,0.0,92.104,0.4210000000000065,91.325,0.0,90.535,0.4959999999999951,89.57,0.07699999999999818,1.0
25,Hamilton,2016,Bahrain,92.799,0.5050000000000097,91.242,0.24099999999999966,92.16,0.47700000000000387,91.39099999999999,0.06599999999998829,90.039,0.0,89.493,0.0,3.0
26,Ricciardo,2016,Bahrain,94.461,2.1670000000000016,92.87,1.8689999999999998,93.519,1.8360000000000127,91.40299999999999,0.07799999999998875,91.122,1.0829999999999984,90.854,1.3610000000000042,4.0
27,Vettel,2016,Bahrain,95.07300000000001,2.7790000000000106,92.65,1.649000000000001,91.68299999999999,0.0,91.636,0.31099999999999284,90.40899999999999,0.36999999999999034,90.012,0.5190000000000055,21.0
28,Verstappen,2016,Bahrain,94.86,2.5660000000000025,92.406,1.4050000000000011,93.77799999999999,2.094999999999999,91.888,0.5630000000000024,91.77199999999999,1.7329999999999899,,,6.0
29,RÃ¤ikkÃ¶nen,2016,Bahrain,94.128,1.8340000000000032,92.452,1.4509999999999934,91.723,0.04000000000000625,91.685,0.35999999999999943,90.559,0.519999999999996,90.244,0.7510000000000048,2.0
30,Perez,2016,Bahrain,,,93.406,2.405000000000001,94.281,2.598000000000013,92.911,1.5859999999999985,,,,,16.0
31,Bottas,2016,Bahrain,95.174,2.8800000000000097,92.792,1.7909999999999968,92.675,0.9920000000000044,91.672,0.3469999999999942,90.931,0.8919999999999959,91.15299999999999,1.6599999999999966,9.0
32,Hulkenberg,2016,Bahrain,94.601,2.307000000000002,93.57,2.5689999999999884,94.128,2.4450000000000074,91.987,0.6619999999999919,91.604,1.5649999999999977,91.62,2.1270000000000095,15.0
33,Alonso,2016,Bahrain,,,,,,,,,,,,,
34,Massa,2016,Bahrain,95.006,2.7120000000000033,92.87299999999999,1.8719999999999857,93.363,1.6800000000000068,92.045,0.7199999999999989,91.374,1.3349999999999937,91.155,1.6620000000000061,8.0
35,Sainz,2016,Bahrain,94.793,2.4990000000000094,93.17699999999999,2.1759999999999877,94.003,2.3200000000000074,91.71600000000001,0.39100000000000534,91.816,1.777000000000001,,,18.0
36,Grosjean,2016,Bahrain,95.0,2.706000000000003,93.384,2.3829999999999956,93.082,1.399000000000001,92.005,0.6799999999999926,91.756,1.7169999999999987,,,5.0
37,Kvyat,2016,Bahrain,94.541,2.247,92.703,1.7019999999999982,93.113,1.4300000000000068,92.559,1.2339999999999947,92.241,2.201999999999998,,,7.0
38,Button,2016,Bahrain,95.44,3.146000000000001,92.281,1.2800000000000011,93.70400000000001,2.021000000000015,91.976,0.6509999999999962,91.998,1.9590000000000032,,,20.0
39,Magnussen,2016,Bahrain,95.49000000000001,3.196000000000012,93.447,2.445999999999998,93.61699999999999,1.9339999999999975,93.181,1.8559999999999945,,,,,11.0
40,Nasr,2016,Bahrain,96.719,4.424999999999997,94.477,3.475999999999999,94.013,2.3300000000000125,94.388,3.0630000000000024,,,,,14.0
41,Palmer,2016,Bahrain,96.939,4.644999999999996,93.64,2.638999999999996,94.424,2.741000000000014,93.438,2.1129999999999995,,,,,22.0
42,Wehrlein,2016,Bahrain,96.37100000000001,4.077000000000012,93.953,2.951999999999998,95.72399999999999,4.040999999999997,92.806,1.4809999999999945,,,,,13.0
43,Vandoorne,2016,Bahrain,96.392,4.097999999999999,92.999,1.9979999999999905,93.744,2.061000000000007,92.47200000000001,1.1470000000000056,91.934,1.894999999999996,,,10.0
44,Gutierrez ,2016,Bahrain,95.309,3.0150000000000006,93.12899999999999,2.127999999999986,93.337,1.6540000000000106,92.118,0.7929999999999922,91.945,1.9059999999999917,,,19.0
45,Ericsson,2016,Bahrain,95.72800000000001,3.4340000000000117,94.22399999999999,3.2229999999999848,93.569,1.88600000000001,92.84,1.5150000000000006,,,,,12.0
46,Ocon,2016,Bahrain,,,,,,,,,,,,,
47,Haryanto,2016,Bahrain,97.714,5.420000000000002,94.562,3.560999999999993,95.54599999999999,3.8629999999999995,94.19,2.864999999999995,,,,,17.0
48,Rosberg,2016,China,98.037,0.0,97.13300000000001,0.23700000000000898,,,97.669,0.6679999999999922,96.24000000000001,0.1220000000000141,95.402,0.0,1.0
49,Hamilton,2016,China,98.18299999999999,0.14599999999998658,97.32900000000001,0.43300000000000693,,,,,,,,,7.0
50,Ricciardo,2016,China,99.061,1.024000000000001,98.143,1.2469999999999999,,,97.672,0.6709999999999923,96.815,0.6970000000000027,95.917,0.5150000000000006,4.0
51,Vettel,2016,China,98.66499999999999,0.6279999999999859,97.005,0.10899999999999466,117.351,0.0,97.001,0.0,96.18299999999999,0.06499999999999773,96.24600000000001,0.8440000000000083,2.0
52,Verstappen,2016,China,100.232,2.194999999999993,98.268,1.3719999999999999,120.15,2.7990000000000066,98.181,1.1799999999999926,97.265,1.1470000000000056,97.194,1.7920000000000016,8.0
53,RÃ¤ikkÃ¶nen,2016,China,99.155,1.117999999999995,96.896,0.0,120.812,3.4609999999999985,97.34700000000001,0.34600000000000364,96.118,0.0,95.97200000000001,0.5700000000000074,5.0
54,Perez,2016,China,100.34700000000001,2.3100000000000023,98.569,1.6730000000000018,118.689,1.3379999999999939,98.096,1.0949999999999989,97.149,1.031000000000006,96.86500000000001,1.463000000000008,11.0
55,Bottas,2016,China,100.828,2.790999999999997,98.723,1.8269999999999982,118.061,0.710000000000008,97.537,0.5360000000000014,96.831,0.7130000000000081,96.29599999999999,0.8939999999999912,10.0
56,Hulkenberg,2016,China,100.169,2.131999999999991,98.527,1.6310000000000002,120.158,2.807000000000002,98.16499999999999,1.1639999999999873,97.333,1.2150000000000034,,,15.0
57,Alonso,2016,China,100.538,2.5009999999999906,98.72800000000001,1.8320000000000078,,,98.451,1.4499999999999886,98.826,2.7079999999999984,,,12.0
58,Massa,2016,China,,,99.214,2.317999999999998,122.438,5.087000000000003,98.01599999999999,1.0149999999999864,97.34700000000001,1.2290000000000134,,,6.0
59,Sainz,2016,China,99.676,1.6389999999999958,98.542,1.6460000000000008,118.8,1.448999999999998,97.656,0.6550000000000011,97.20400000000001,1.0860000000000127,96.881,1.4789999999999992,9.0
60,Grosjean,2016,China,101.358,3.320999999999998,99.89,2.9939999999999998,,,98.425,1.4239999999999924,99.83,3.7120000000000033,,,19.0
61,Kvyat,2016,China,99.625,1.5879999999999939,99.178,2.2819999999999965,,,97.719,0.7179999999999893,96.94800000000001,0.8300000000000125,96.399,0.9969999999999999,3.0
62,Button,2016,China,99.97399999999999,1.9369999999999834,98.828,1.9320000000000022,,,97.593,0.5919999999999987,99.093,2.9750000000000085,,,13.0
63,Magnussen,2016,China,,,,,119.761,2.4099999999999966,98.673,1.671999999999997,,,,,17.0
64,Nasr,2016,China,102.97999999999999,4.942999999999984,101.066,4.170000000000002,120.197,2.8460000000000036,98.654,1.6529999999999916,102.43,6.312000000000012,,,20.0
65,Palmer,2016,China,101.816,3.7789999999999964,99.774,2.878,119.67699999999999,2.3259999999999934,99.52799999999999,2.526999999999987,,,,,22.0
66,Wehrlein,2016,China,102.908,4.870999999999995,99.941,3.0450000000000017,119.964,2.6129999999999995,,,,,,,18.0
67,Vandoorne,2016,China,,,,,,,,,,,,,
68,Gutierrez ,2016,China,,,102.95400000000001,6.058000000000007,119.52600000000001,2.1750000000000114,98.77000000000001,1.7690000000000055,,,,,14.0
69,Ericsson,2016,China,101.393,3.3559999999999945,99.979,3.0829999999999984,,,98.321,1.3199999999999932,100.74199999999999,4.623999999999995,,,16.0
70,Ocon,2016,China,,,,,,,,,,,,,
71,Haryanto,2016,China,101.614,3.576999999999998,100.55,3.6539999999999964,122.732,5.381,100.26400000000001,3.2630000000000052,,,,,21.0
72,Rosberg,2016,Russia,98.12700000000001,0.0,98.45,0.8670000000000044,96.471,0.06800000000001205,96.119,0.11299999999999955,95.337,0.0,95.417,0.0,1.0
73,Hamilton,2016,Russia,98.84899999999999,0.72199999999998,97.583,0.0,96.40299999999999,0.0,96.006,0.0,95.82,0.4829999999999899,,,2.0
74,Ricciardo,2016,Russia,99.65,1.5229999999999961,99.084,1.5010000000000048,98.622,2.2190000000000083,98.09100000000001,2.085000000000008,97.569,2.2319999999999993,97.125,1.7079999999999984,11.0
75,Vettel,2016,Russia,99.175,1.0479999999999876,98.235,0.652000000000001,97.007,0.6040000000000134,96.555,0.5490000000000066,96.62299999999999,1.2859999999999872,96.12299999999999,0.7059999999999889,20.0
76,Verstappen,2016,Russia,101.134,3.006999999999991,99.501,1.9180000000000064,98.13300000000001,1.7300000000000182,98.12299999999999,2.1169999999999902,97.50999999999999,2.1729999999999876,97.583,2.165999999999997,19.0
77,RÃ¤ikkÃ¶nen,2016,Russia,99.332,1.204999999999984,98.793,1.210000000000008,97.727,1.3240000000000123,96.976,0.9699999999999989,96.741,1.4039999999999964,96.663,1.2459999999999951,3.0
78,Perez,2016,Russia,100.287,2.1599999999999966,99.86699999999999,2.283999999999992,98.542,2.13900000000001,98.006,2.0,97.282,1.9449999999999932,97.212,1.7950000000000017,9.0
79,Bottas,2016,Russia,99.80199999999999,1.674999999999983,99.185,1.6020000000000039,97.985,1.5820000000000078,97.74600000000001,1.740000000000009,97.14,1.8029999999999973,96.536,1.1189999999999998,4.0
80,Hulkenberg,2016,Russia,,,99.795,2.2120000000000033,99.162,2.7590000000000146,98.562,2.5559999999999974,97.771,2.4339999999999975,,,21.0
81,Alonso,2016,Russia,100.771,2.6439999999999912,99.4,1.8170000000000073,98.63300000000001,2.230000000000018,97.971,1.9650000000000034,97.807,2.469999999999999,,,6.0
82,Massa,2016,Russia,99.36500000000001,1.2379999999999995,99.289,1.706000000000003,97.918,1.5150000000000148,97.753,1.7469999999999999,97.22999999999999,1.8929999999999865,97.01599999999999,1.5989999999999895,5.0
83,Sainz,2016,Russia,100.654,2.526999999999987,99.465,1.882000000000005,98.465,2.062000000000012,97.78399999999999,1.7779999999999916,97.652,2.3149999999999977,,,12.0
84,Grosjean,2016,Russia,101.38499999999999,3.2579999999999814,100.25999999999999,2.6769999999999925,99.239,2.8360000000000127,98.38300000000001,2.3770000000000095,98.055,2.7180000000000035,,,8.0
85,Kvyat,2016,Russia,100.218,2.090999999999994,99.193,1.6099999999999994,99.047,2.6440000000000055,98.265,2.2590000000000003,97.606,2.2689999999999912,97.459,2.0420000000000016,15.0
86,Button,2016,Russia,100.663,2.535999999999987,99.196,1.6129999999999995,98.25999999999999,1.8569999999999993,98.332,2.3259999999999934,97.701,2.36399999999999,,,10.0
87,Magnussen,2016,Russia,,,100.193,2.6099999999999994,99.238,2.835000000000008,98.914,2.9080000000000013,,,,,7.0
88,Nasr,2016,Russia,101.08500000000001,2.9579999999999984,100.74000000000001,3.1570000000000107,99.898,3.4950000000000045,99.018,3.0120000000000005,,,,,16.0
89,Palmer,2016,Russia,101.67099999999999,3.5439999999999827,100.688,3.105000000000004,99.589,3.186000000000007,99.009,3.003,,,,,13.0
90,Wehrlein,2016,Russia,102.483,4.3559999999999945,101.148,3.5649999999999977,99.663,3.260000000000005,99.399,3.3930000000000007,,,,,18.0
91,Vandoorne,2016,Russia,,,,,,,,,,,,,
92,Gutierrez ,2016,Russia,101.238,3.11099999999999,100.50800000000001,2.9250000000000114,99.22999999999999,2.826999999999998,98.678,2.671999999999997,98.11500000000001,2.778000000000006,,,17.0
93,Ericsson,2016,Russia,101.962,3.8349999999999937,101.652,4.069000000000003,99.74000000000001,3.3370000000000175,99.519,3.5130000000000052,,,,,14.0
94,Ocon,2016,Russia,,,,,,,,,,,,,
95,Haryanto,2016,Russia,102.687,4.559999999999988,101.08,3.497,99.59899999999999,3.195999999999998,99.463,3.4569999999999936,,,,,22.0
96,Rosberg,2016,Spain,84.45400000000001,0.5030000000000143,83.922,0.0,83.078,0.0,83.002,0.0,82.759,0.6000000000000085,82.28,0.28000000000000114,22.0
97,Hamilton,2016,Spain,84.611,0.6600000000000108,84.64099999999999,0.7189999999999941,83.20400000000001,0.12600000000000477,83.214,0.2120000000000033,82.15899999999999,0.0,82.0,0.0,21.0
98,Ricciardo,2016,Spain,85.416,1.4650000000000034,85.194,1.2720000000000056,83.816,0.7379999999999995,83.749,0.7469999999999999,83.58500000000001,1.4260000000000161,82.68,0.6800000000000068,4.0
99,Vettel,2016,Spain,83.951,0.0,85.017,1.0949999999999989,83.225,0.14699999999999136,84.124,1.1219999999999999,83.688,1.5290000000000106,83.334,1.3340000000000032,3.0
100,Verstappen,2016,Spain,85.58500000000001,1.6340000000000146,85.375,1.453000000000003,83.719,0.6409999999999911,83.578,0.5760000000000076,83.178,1.0190000000000055,83.087,1.0870000000000033,1.0
101,RÃ¤ikkÃ¶nen,2016,Spain,84.089,0.13800000000000523,84.176,0.2540000000000049,84.11,1.0319999999999965,83.79599999999999,0.7939999999999969,83.504,1.345000000000013,83.113,1.1129999999999995,2.0
102,Perez,2016,Spain,87.064,3.1129999999999995,85.437,1.5150000000000006,84.47200000000001,1.3940000000000055,84.69800000000001,1.6960000000000122,84.003,1.8440000000000083,83.782,1.7819999999999965,7.0
103,Bottas,2016,Spain,85.672,1.7210000000000036,85.708,1.7860000000000014,84.356,1.2779999999999916,84.251,1.2490000000000094,84.023,1.8640000000000043,83.52199999999999,1.5219999999999914,5.0
104,Hulkenberg,2016,Spain,86.938,2.987000000000009,85.453,1.531000000000006,84.58500000000001,1.507000000000005,84.463,1.4609999999999985,84.203,2.044000000000011,,,20.0
105,Alonso,2016,Spain,86.243,2.2920000000000016,85.342,1.4200000000000017,84.555,1.4770000000000039,84.578,1.5760000000000076,84.19200000000001,2.0330000000000155,83.981,1.9809999999999945,19.0
106,Massa,2016,Spain,86.186,2.2350000000000136,86.491,2.5690000000000026,84.621,1.5429999999999922,84.941,1.9390000000000072,,,,,8.0
107,Sainz,2016,Spain,86.078,2.1270000000000095,85.131,1.2090000000000032,84.695,1.6169999999999902,84.496,1.4939999999999998,84.077,1.9180000000000064,83.643,1.6430000000000007,6.0
108,Grosjean,2016,Spain,87.258,3.307000000000002,85.899,1.9770000000000039,84.981,1.9029999999999916,84.71600000000001,1.7140000000000128,84.48,2.321000000000012,,,18.0
109,Kvyat,2016,Spain,86.583,2.632000000000005,86.375,2.453000000000003,84.553,1.4749999999999943,84.696,1.6940000000000026,84.445,2.2860000000000014,,,10.0
110,Button,2016,Spain,87.61,3.659000000000006,85.893,1.9710000000000036,85.051,1.972999999999999,84.583,1.581000000000003,84.348,2.189000000000007,,,9.0
111,Magnussen,2016,Spain,86.576,2.625,86.244,2.3220000000000027,85.1,2.0219999999999914,84.669,1.6670000000000016,84.625,2.466000000000008,,,15.0
112,Nasr,2016,Spain,87.253,3.3020000000000067,87.812,3.8900000000000006,85.383,2.3049999999999926,85.57900000000001,2.5770000000000124,,,,,14.0
113,Palmer,2016,Spain,,,86.77,2.847999999999999,85.376,2.298000000000002,84.90299999999999,1.9009999999999962,,,,,13.0
114,Wehrlein,2016,Spain,88.084,4.13300000000001,86.96000000000001,3.038000000000011,86.09700000000001,3.0190000000000055,85.745,2.743000000000009,,,,,16.0
115,Vandoorne,2016,Spain,,,,,,,,,,,,,
116,Gutierrez ,2016,Spain,87.283,3.332000000000008,88.205,4.283000000000001,85.13,2.0519999999999925,84.406,1.4040000000000106,84.77799999999999,2.6189999999999998,,,11.0
117,Ericsson,2016,Spain,87.392,3.4410000000000025,88.501,4.579000000000008,85.401,2.3229999999999933,85.202,2.200000000000003,,,,,12.0
118,Ocon,2016,Spain,,,,,,,,,,,,,
119,Haryanto,2016,Spain,89.05199999999999,5.100999999999999,87.252,3.3299999999999983,86.251,3.173000000000002,85.939,2.9369999999999976,,,,,17.0
